timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1550077967420,1393,HTTP Request,200,,Users 1-18,text,true,,271036,140,22,22,https://www-uat.liferay.com/company/our-story,1043,0,300
1550077967406,1466,HTTP Request,200,,Users 1-17,text,true,,227149,142,20,20,https://www-uat.liferay.com/downloads-community,1096,0,313
1550077967591,1301,HTTP Request,200,OK,Users 1-35,text,true,,162325,505,19,19,https://community.liferay.com/forums/-/message_boards/message/316880,162,0,128
1550077967591,162,HTTP Request-0,301,Moved Permanently,Users 1-35,text,true,,467,171,19,19,https://www-uat.liferay.com/community/forums/-/message_boards/message/316880,162,0,128
1550077967757,45,HTTP Request-1,301,Moved Permanently,Users 1-35,text,true,,578,171,19,19,https://web-uat.liferay.com/community/forums/-/message_boards/message/316880,45,0,40
1550077967803,1089,HTTP Request-2,200,OK,Users 1-35,text,true,,161280,163,19,19,https://community.liferay.com/forums/-/message_boards/message/316880,578,0,294
1550077967338,1572,HTTP Request,200,,Users 1-9,text,true,,285725,132,18,18,https://www-uat.liferay.com/resources,1214,0,380
1550077967318,1605,HTTP Request,200,,Users 1-1,text,true,,429361,123,17,17,https://www-uat.liferay.com/,1186,0,401
1550077967713,1211,HTTP Request,200,,Users 1-47,text,true,,287205,155,16,16,https://www-uat.liferay.com/resources?93350categoryIds=93352,863,0,90
1550077967338,1651,HTTP Request,200,,Users 1-10,text,true,,357549,135,15,15,https://www-uat.liferay.com/products/dxp,1216,0,383
1550077967531,1464,HTTP Request,200,,Users 1-29,text,true,,429545,127,14,14,https://www-uat.liferay.com/home,993,0,188
1550077967465,1554,HTTP Request,200,,Users 1-23,text,true,,358436,404,13,13,https://www-uat.liferay.com/web/guest/products/dxp,288,0,251
1550077967465,288,HTTP Request-0,302,,Users 1-23,text,true,,873,132,13,13,https://www-uat.liferay.com/solutions,288,0,251
1550077967758,1261,HTTP Request-1,200,,Users 1-23,text,true,,357563,272,13,13,https://www-uat.liferay.com/web/guest/products/dxp,734,0,0
1550077967570,1463,HTTP Request,200,OK,Users 1-32,text,true,,178728,511,12,12,https://community.liferay.com/forums/-/message_boards/message/10038451,184,0,150
1550077967570,184,HTTP Request-0,301,Moved Permanently,Users 1-32,text,true,,469,173,12,12,https://www-uat.liferay.com/community/forums/-/message_boards/message/10038451,184,0,150
1550077967756,41,HTTP Request-1,301,Moved Permanently,Users 1-32,text,true,,582,173,12,12,https://web-uat.liferay.com/community/forums/-/message_boards/message/10038451,41,0,37
1550077967798,1235,HTTP Request-2,200,OK,Users 1-32,text,true,,177677,165,12,12,https://community.liferay.com/forums/-/message_boards/message/10038451,600,0,287
1550077967483,1555,HTTP Request,200,,Users 1-24,text,true,,438412,130,11,11,https://www-uat.liferay.com/de/home,1163,0,237
1550077967448,1604,HTTP Request,200,OK,Users 1-21,text,true,,214735,531,10,10,https://community.liferay.com/blogs/-/blogs/15-awesome-web-portal-examples,305,0,272
1550077967448,305,HTTP Request-0,301,Moved Permanently,Users 1-21,text,true,,477,181,10,10,https://www-uat.liferay.com/web/martin.yan/blog/-/blogs/15-awesome-web-portal-examples,305,0,272
1550077967757,26,HTTP Request-1,301,Moved Permanently,Users 1-21,text,true,,590,181,10,10,https://web-uat.liferay.com/web/martin.yan/blog/-/blogs/15-awesome-web-portal-examples,26,0,21
1550077967784,1268,HTTP Request-2,200,OK,Users 1-21,text,true,,213668,169,10,10,https://community.liferay.com/blogs/-/blogs/15-awesome-web-portal-examples,520,0,294
1550077967403,1704,HTTP Request,200,,Users 1-16,text,true,,450910,130,9,9,https://www-uat.liferay.com/ja/home,1187,0,314
1550077967464,1649,HTTP Request,200,,Users 1-22,text,true,,436852,130,8,8,https://www-uat.liferay.com/pt/home,1113,0,257
1550077967318,1836,HTTP Request,200,,Users 1-4,text,true,,447371,130,7,7,https://www-uat.liferay.com/es/home,1275,0,403
1550077967576,1584,HTTP Request,200,,Users 1-34,text,true,,443750,130,6,6,https://www-uat.liferay.com/fr/home,1136,0,143
1550077967695,1488,HTTP Request,200,,Users 1-46,text,true,,445476,130,5,5,https://www-uat.liferay.com/zh/home,911,0,77
1550077967622,1575,HTTP Request,200,,Users 1-38,text,true,,190860,140,4,4,https://www-uat.liferay.com/services/partners,1466,0,96
1550077967318,1893,HTTP Request,200,,Users 1-5,text,true,,359321,420,3,3,https://www-uat.liferay.com/products/dxp,435,0,401
1550077967318,436,HTTP Request-0,302,Moved Temporarily,Users 1-5,text,true,,406,150,3,3,https://www-uat.liferay.com/digital-experience-platform,435,0,401
1550077967757,44,HTTP Request-1,301,Moved Permanently,Users 1-5,text,true,,431,135,3,3,http://www-uat.liferay.com/products/dxp,44,0,21
1550077967801,1410,HTTP Request-2,200,,Users 1-5,text,true,,358484,135,3,3,https://www-uat.liferay.com/products/dxp,1228,0,0
1550077967609,1653,HTTP Request,200,,Users 1-36,text,true,,358719,429,2,2,https://www-uat.liferay.com/es/products/dxp,145,0,111
1550077967609,145,HTTP Request-0,302,Moved Temporarily,Users 1-36,text,true,,409,153,2,2,https://www-uat.liferay.com/es/digital-experience-platform,145,0,111
1550077967758,49,HTTP Request-1,301,Moved Permanently,Users 1-36,text,true,,434,138,2,2,http://www-uat.liferay.com/es/products/dxp,49,0,24
1550077967807,1455,HTTP Request-2,200,,Users 1-36,text,true,,357876,138,2,2,https://www-uat.liferay.com/es/products/dxp,1231,0,0
1550077967511,1846,HTTP Request,200,,Users 1-27,text,true,,430735,130,1,1,https://www-uat.liferay.com/it/home,1164,0,209
