downloads-en,/downloads
downloads-es,/es/downloads
download-thanks,/downloads/thanks-for-downloading
download-ide,/downloads/liferay-projects/liferay-ide
downloads-community,/downloads-community
downloads-enterprise,/group/customer/dxp/downloads/digital-enterprise
downloads-fixpacks,/group/customer/dxp/downloads/digital-enterprise/fix-packs
